Id,path_image,path_mask
18_08_18,Features_extraction_analysis/grays\18_08_18_gray.png,Features_extraction_analysis/masks\18_08_18_mask.png
18_10_18,Features_extraction_analysis/grays\18_10_18_gray.png,Features_extraction_analysis/masks\18_10_18_mask.png
18_10_19,Features_extraction_analysis/grays\18_10_19_gray.png,Features_extraction_analysis/masks\18_10_19_mask.png
19_03_20,Features_extraction_analysis/grays\19_03_20_gray.png,Features_extraction_analysis/masks\19_03_20_mask.png
19_05_23,Features_extraction_analysis/grays\19_05_23_gray.png,Features_extraction_analysis/masks\19_05_23_mask.png
19_06_18,Features_extraction_analysis/grays\19_06_18_gray.png,Features_extraction_analysis/masks\19_06_18_mask.png
19_09_24,Features_extraction_analysis/grays\19_09_24_gray.png,Features_extraction_analysis/masks\19_09_24_mask.png
20_01_19,Features_extraction_analysis/grays\20_01_19_gray.png,Features_extraction_analysis/masks\20_01_19_mask.png
20_01_20,Features_extraction_analysis/grays\20_01_20_gray.png,Features_extraction_analysis/masks\20_01_20_mask.png
20_04_18,Features_extraction_analysis/grays\20_04_18_gray.png,Features_extraction_analysis/masks\20_04_18_mask.png
21_01_20,Features_extraction_analysis/grays\21_01_20_gray.png,Features_extraction_analysis/masks\21_01_20_mask.png
21_06_20,Features_extraction_analysis/grays\21_06_20_gray.png,Features_extraction_analysis/masks\21_06_20_mask.png
21_08_24,Features_extraction_analysis/grays\21_08_24_gray.png,Features_extraction_analysis/masks\21_08_24_mask.png
21_09_20,Features_extraction_analysis/grays\21_09_20_gray.png,Features_extraction_analysis/masks\21_09_20_mask.png
21_10_18,Features_extraction_analysis/grays\21_10_18_gray.png,Features_extraction_analysis/masks\21_10_18_mask.png
22_03_19,Features_extraction_analysis/grays\22_03_19_gray.png,Features_extraction_analysis/masks\22_03_19_mask.png
22_04_21,Features_extraction_analysis/grays\22_04_21_gray.png,Features_extraction_analysis/masks\22_04_21_mask.png
22_07_18,Features_extraction_analysis/grays\22_07_18_gray.png,Features_extraction_analysis/masks\22_07_18_mask.png
22_09_20,Features_extraction_analysis/grays\22_09_20_gray.png,Features_extraction_analysis/masks\22_09_20_mask.png
23_03_20,Features_extraction_analysis/grays\23_03_20_gray.png,Features_extraction_analysis/masks\23_03_20_mask.png
23_03_21,Features_extraction_analysis/grays\23_03_21_gray.png,Features_extraction_analysis/masks\23_03_21_mask.png
23_06_20,Features_extraction_analysis/grays\23_06_20_gray.png,Features_extraction_analysis/masks\23_06_20_mask.png
23_06_23,Features_extraction_analysis/grays\23_06_23_gray.png,Features_extraction_analysis/masks\23_06_23_mask.png
23_07_22,Features_extraction_analysis/grays\23_07_22_gray.png,Features_extraction_analysis/masks\23_07_22_mask.png
24_02_21,Features_extraction_analysis/grays\24_02_21_gray.png,Features_extraction_analysis/masks\24_02_21_mask.png
24_04_20,Features_extraction_analysis/grays\24_04_20_gray.png,Features_extraction_analysis/masks\24_04_20_mask.png
24_06_18,Features_extraction_analysis/grays\24_06_18_gray.png,Features_extraction_analysis/masks\24_06_18_mask.png
24_07_19,Features_extraction_analysis/grays\24_07_19_gray.png,Features_extraction_analysis/masks\24_07_19_mask.png
25_02_18,Features_extraction_analysis/grays\25_02_18_gray.png,Features_extraction_analysis/masks\25_02_18_mask.png
25_03_22,Features_extraction_analysis/grays\25_03_22_gray.png,Features_extraction_analysis/masks\25_03_22_mask.png
25_05_18,Features_extraction_analysis/grays\25_05_18_gray.png,Features_extraction_analysis/masks\25_05_18_mask.png
25_06_18,Features_extraction_analysis/grays\25_06_18_gray.png,Features_extraction_analysis/masks\25_06_18_mask.png
25_07_19,Features_extraction_analysis/grays\25_07_19_gray.png,Features_extraction_analysis/masks\25_07_19_mask.png
25_09_22,Features_extraction_analysis/grays\25_09_22_gray.png,Features_extraction_analysis/masks\25_09_22_mask.png
25_12_18,Features_extraction_analysis/grays\25_12_18_gray.png,Features_extraction_analysis/masks\25_12_18_mask.png
26_05_18,Features_extraction_analysis/grays\26_05_18_gray.png,Features_extraction_analysis/masks\26_05_18_mask.png
26_06_24,Features_extraction_analysis/grays\26_06_24_gray.png,Features_extraction_analysis/masks\26_06_24_mask.png
26_11_20,Features_extraction_analysis/grays\26_11_20_gray.png,Features_extraction_analysis/masks\26_11_20_mask.png
27_02_23,Features_extraction_analysis/grays\27_02_23_gray.png,Features_extraction_analysis/masks\27_02_23_mask.png
27_05_20,Features_extraction_analysis/grays\27_05_20_gray.png,Features_extraction_analysis/masks\27_05_20_mask.png
27_06_19,Features_extraction_analysis/grays\27_06_19_gray.png,Features_extraction_analysis/masks\27_06_19_mask.png
27_07_20,Features_extraction_analysis/grays\27_07_20_gray.png,Features_extraction_analysis/masks\27_07_20_mask.png
28_05_20,Features_extraction_analysis/grays\28_05_20_gray.png,Features_extraction_analysis/masks\28_05_20_mask.png
28_11_21,Features_extraction_analysis/grays\28_11_21_gray.png,Features_extraction_analysis/masks\28_11_21_mask.png
29_03_21,Features_extraction_analysis/grays\29_03_21_gray.png,Features_extraction_analysis/masks\29_03_21_mask.png
29_05_21,Features_extraction_analysis/grays\29_05_21_gray.png,Features_extraction_analysis/masks\29_05_21_mask.png
29_07_20,Features_extraction_analysis/grays\29_07_20_gray.png,Features_extraction_analysis/masks\29_07_20_mask.png
29_12_19,Features_extraction_analysis/grays\29_12_19_gray.png,Features_extraction_analysis/masks\29_12_19_mask.png
30_03_21,Features_extraction_analysis/grays\30_03_21_gray.png,Features_extraction_analysis/masks\30_03_21_mask.png
30_04_22,Features_extraction_analysis/grays\30_04_22_gray.png,Features_extraction_analysis/masks\30_04_22_mask.png
31_08_22,Features_extraction_analysis/grays\31_08_22_gray.png,Features_extraction_analysis/masks\31_08_22_mask.png
31_12_21,Features_extraction_analysis/grays\31_12_21_gray.png,Features_extraction_analysis/masks\31_12_21_mask.png
