Id,path_image,path_mask
08_04_20,Analysis/Sentinel2_Images_Catillon/grays\08_04_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\08_04_20_mask.png
09_07_20,Analysis/Sentinel2_Images_Catillon/grays\09_07_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\09_07_20_mask.png
10_02_18,Analysis/Sentinel2_Images_Catillon/grays\10_02_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\10_02_18_mask.png
10_04_20,Analysis/Sentinel2_Images_Catillon/grays\10_04_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\10_04_20_mask.png
11_05_18,Analysis/Sentinel2_Images_Catillon/grays\11_05_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\11_05_18_mask.png
11_08_20,Analysis/Sentinel2_Images_Catillon/grays\11_08_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\11_08_20_mask.png
12_02_20,Analysis/Sentinel2_Images_Catillon/grays\12_02_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\12_02_20_mask.png
12_07_18,Analysis/Sentinel2_Images_Catillon/grays\12_07_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\12_07_18_mask.png
12_07_20,Analysis/Sentinel2_Images_Catillon/grays\12_07_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\12_07_20_mask.png
13_01_18,Analysis/Sentinel2_Images_Catillon/grays\13_01_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\13_01_18_mask.png
13_03_22,Analysis/Sentinel2_Images_Catillon/grays\13_03_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\13_03_22_mask.png
13_04_20,Analysis/Sentinel2_Images_Catillon/grays\13_04_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\13_04_20_mask.png
13_04_21,Analysis/Sentinel2_Images_Catillon/grays\13_04_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\13_04_21_mask.png
13_05_19,Analysis/Sentinel2_Images_Catillon/grays\13_05_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\13_05_19_mask.png
13_06_21,Analysis/Sentinel2_Images_Catillon/grays\13_06_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\13_06_21_mask.png
14_01_18,Analysis/Sentinel2_Images_Catillon/grays\14_01_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\14_01_18_mask.png
14_01_21,Analysis/Sentinel2_Images_Catillon/grays\14_01_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\14_01_21_mask.png
14_05_19,Analysis/Sentinel2_Images_Catillon/grays\14_05_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\14_05_19_mask.png
15_01_22,Analysis/Sentinel2_Images_Catillon/grays\15_01_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\15_01_22_mask.png
15_04_20,Analysis/Sentinel2_Images_Catillon/grays\15_04_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\15_04_20_mask.png
15_05_19,Analysis/Sentinel2_Images_Catillon/grays\15_05_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\15_05_19_mask.png
15_09_20,Analysis/Sentinel2_Images_Catillon/grays\15_09_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\15_09_20_mask.png
15_09_23,Analysis/Sentinel2_Images_Catillon/grays\15_09_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\15_09_23_mask.png
16_01_20,Analysis/Sentinel2_Images_Catillon/grays\16_01_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\16_01_20_mask.png
16_06_22,Analysis/Sentinel2_Images_Catillon/grays\16_06_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\16_06_22_mask.png
16_10_24,Analysis/Sentinel2_Images_Catillon/grays\16_10_24_gray.png,Analysis/Sentinel2_Images_Catillon/masks\16_10_24_mask.png
16_11_18,Analysis/Sentinel2_Images_Catillon/grays\16_11_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\16_11_18_mask.png
17_06_22,Analysis/Sentinel2_Images_Catillon/grays\17_06_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\17_06_22_mask.png
17_09_21,Analysis/Sentinel2_Images_Catillon/grays\17_09_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\17_09_21_mask.png
17_11_18,Analysis/Sentinel2_Images_Catillon/grays\17_11_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\17_11_18_mask.png
18_01_23,Analysis/Sentinel2_Images_Catillon/grays\18_01_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_01_23_mask.png
18_02_20,Analysis/Sentinel2_Images_Catillon/grays\18_02_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_02_20_mask.png
18_04_18,Analysis/Sentinel2_Images_Catillon/grays\18_04_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_04_18_mask.png
18_04_19,Analysis/Sentinel2_Images_Catillon/grays\18_04_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_04_19_mask.png
18_05_20,Analysis/Sentinel2_Images_Catillon/grays\18_05_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_05_20_mask.png
18_08_18,Analysis/Sentinel2_Images_Catillon/grays\18_08_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_08_18_mask.png
18_10_18,Analysis/Sentinel2_Images_Catillon/grays\18_10_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_10_18_mask.png
18_10_19,Analysis/Sentinel2_Images_Catillon/grays\18_10_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\18_10_19_mask.png
19_03_20,Analysis/Sentinel2_Images_Catillon/grays\19_03_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\19_03_20_mask.png
19_05_23,Analysis/Sentinel2_Images_Catillon/grays\19_05_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\19_05_23_mask.png
19_06_18,Analysis/Sentinel2_Images_Catillon/grays\19_06_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\19_06_18_mask.png
19_09_24,Analysis/Sentinel2_Images_Catillon/grays\19_09_24_gray.png,Analysis/Sentinel2_Images_Catillon/masks\19_09_24_mask.png
20_01_19,Analysis/Sentinel2_Images_Catillon/grays\20_01_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\20_01_19_mask.png
20_01_20,Analysis/Sentinel2_Images_Catillon/grays\20_01_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\20_01_20_mask.png
20_04_18,Analysis/Sentinel2_Images_Catillon/grays\20_04_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\20_04_18_mask.png
21_01_20,Analysis/Sentinel2_Images_Catillon/grays\21_01_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\21_01_20_mask.png
21_06_20,Analysis/Sentinel2_Images_Catillon/grays\21_06_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\21_06_20_mask.png
21_08_24,Analysis/Sentinel2_Images_Catillon/grays\21_08_24_gray.png,Analysis/Sentinel2_Images_Catillon/masks\21_08_24_mask.png
21_09_20,Analysis/Sentinel2_Images_Catillon/grays\21_09_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\21_09_20_mask.png
21_10_18,Analysis/Sentinel2_Images_Catillon/grays\21_10_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\21_10_18_mask.png
22_03_19,Analysis/Sentinel2_Images_Catillon/grays\22_03_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\22_03_19_mask.png
22_04_21,Analysis/Sentinel2_Images_Catillon/grays\22_04_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\22_04_21_mask.png
22_07_18,Analysis/Sentinel2_Images_Catillon/grays\22_07_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\22_07_18_mask.png
22_09_20,Analysis/Sentinel2_Images_Catillon/grays\22_09_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\22_09_20_mask.png
23_03_20,Analysis/Sentinel2_Images_Catillon/grays\23_03_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\23_03_20_mask.png
23_03_21,Analysis/Sentinel2_Images_Catillon/grays\23_03_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\23_03_21_mask.png
23_06_20,Analysis/Sentinel2_Images_Catillon/grays\23_06_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\23_06_20_mask.png
23_06_23,Analysis/Sentinel2_Images_Catillon/grays\23_06_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\23_06_23_mask.png
23_07_22,Analysis/Sentinel2_Images_Catillon/grays\23_07_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\23_07_22_mask.png
24_02_21,Analysis/Sentinel2_Images_Catillon/grays\24_02_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\24_02_21_mask.png
24_04_20,Analysis/Sentinel2_Images_Catillon/grays\24_04_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\24_04_20_mask.png
24_06_18,Analysis/Sentinel2_Images_Catillon/grays\24_06_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\24_06_18_mask.png
24_07_19,Analysis/Sentinel2_Images_Catillon/grays\24_07_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\24_07_19_mask.png
25_02_18,Analysis/Sentinel2_Images_Catillon/grays\25_02_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\25_02_18_mask.png
25_03_22,Analysis/Sentinel2_Images_Catillon/grays\25_03_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\25_03_22_mask.png
25_05_18,Analysis/Sentinel2_Images_Catillon/grays\25_05_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\25_05_18_mask.png
25_06_18,Analysis/Sentinel2_Images_Catillon/grays\25_06_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\25_06_18_mask.png
25_07_19,Analysis/Sentinel2_Images_Catillon/grays\25_07_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\25_07_19_mask.png
25_09_22,Analysis/Sentinel2_Images_Catillon/grays\25_09_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\25_09_22_mask.png
25_12_18,Analysis/Sentinel2_Images_Catillon/grays\25_12_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\25_12_18_mask.png
26_05_18,Analysis/Sentinel2_Images_Catillon/grays\26_05_18_gray.png,Analysis/Sentinel2_Images_Catillon/masks\26_05_18_mask.png
26_06_24,Analysis/Sentinel2_Images_Catillon/grays\26_06_24_gray.png,Analysis/Sentinel2_Images_Catillon/masks\26_06_24_mask.png
26_11_20,Analysis/Sentinel2_Images_Catillon/grays\26_11_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\26_11_20_mask.png
27_02_23,Analysis/Sentinel2_Images_Catillon/grays\27_02_23_gray.png,Analysis/Sentinel2_Images_Catillon/masks\27_02_23_mask.png
27_05_20,Analysis/Sentinel2_Images_Catillon/grays\27_05_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\27_05_20_mask.png
27_06_19,Analysis/Sentinel2_Images_Catillon/grays\27_06_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\27_06_19_mask.png
27_07_20,Analysis/Sentinel2_Images_Catillon/grays\27_07_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\27_07_20_mask.png
28_05_20,Analysis/Sentinel2_Images_Catillon/grays\28_05_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\28_05_20_mask.png
28_11_21,Analysis/Sentinel2_Images_Catillon/grays\28_11_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\28_11_21_mask.png
29_03_21,Analysis/Sentinel2_Images_Catillon/grays\29_03_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\29_03_21_mask.png
29_05_21,Analysis/Sentinel2_Images_Catillon/grays\29_05_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\29_05_21_mask.png
29_07_20,Analysis/Sentinel2_Images_Catillon/grays\29_07_20_gray.png,Analysis/Sentinel2_Images_Catillon/masks\29_07_20_mask.png
29_12_19,Analysis/Sentinel2_Images_Catillon/grays\29_12_19_gray.png,Analysis/Sentinel2_Images_Catillon/masks\29_12_19_mask.png
30_03_21,Analysis/Sentinel2_Images_Catillon/grays\30_03_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\30_03_21_mask.png
30_04_22,Analysis/Sentinel2_Images_Catillon/grays\30_04_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\30_04_22_mask.png
31_08_22,Analysis/Sentinel2_Images_Catillon/grays\31_08_22_gray.png,Analysis/Sentinel2_Images_Catillon/masks\31_08_22_mask.png
31_12_21,Analysis/Sentinel2_Images_Catillon/grays\31_12_21_gray.png,Analysis/Sentinel2_Images_Catillon/masks\31_12_21_mask.png
